title,link,price,likes
"Acer 315 15.6"" Chromebook Celeron 4GB/32GB  N4000, 4GB, 32GB eMMC, Protective Sleeve $179.99",https://slickdeals.net/f/14079263-acer-315-15-6-chromebook-celeron-4gb-32gb-n4000-4gb-32gb-emmc-protective-sleeve-179-99?src=catpagev2,$179.99 ,33
Intel Core i5-9400 6-core Processor @Newegg $155,https://slickdeals.net/f/14081150-intel-core-i5-9400-6-core-processor-newegg-155?src=catpagev2,$155 ,0
Omars Portable Power Supply 146Wh  $55.00,https://slickdeals.net/f/14079770-omars-portable-power-supply-146wh-55-00?src=catpagev2,$55 ,11
32GB (2x 16) G.SKILL Ripjaws V Series DDR4 3200 Desktop Memory @Newegg $115,https://slickdeals.net/f/14101895-32gb-2x-16-g-skill-ripjaws-v-series-ddr4-3200-desktop-memory-newegg-115?src=catpagev2,$115 ,0
AMD RYZEN 7 3800X 105W 8-Core AM4 Processor @Newegg $320,https://slickdeals.net/f/14101892-amd-ryzen-7-3800x-105w-8-core-am4-processor-newegg-320?src=catpagev2,$320 ,0
"128GB Apple iPad 7th Gen 10.2"" WiFi Tablet (2019 Model, Space Gray)",https://slickdeals.net/f/14099615-128gb-apple-ipad-7th-gen-10-2-wifi-tablet-2019-model-space-gray-330-free-shipping?src=catpagev2,$330 ,42
Dell Technologies: Up to 40% Off Select Vostro Computers + FS,https://slickdeals.net/f/14100935-dell-technologies-up-to-40-off-select-vostro-computers-fs?src=catpagev2,N/A,0
Rosewill 8-Port Gigabit Network Switch for $20.00 AC + FSSS,https://slickdeals.net/f/14100893-rosewill-8-port-gigabit-network-switch-for-20-00-ac-fsss?src=catpagev2,$20 ,5
"Samsung - Galaxy Tab S5e - 10.5"" $349 64gb and $399 128gb $349.99",https://slickdeals.net/f/14094710-samsung-galaxy-tab-s5e-10-5-349-64gb-and-399-128gb-349-99?src=catpagev2,$349.99 ,8
"Dell - Inspiron 15.6"" 7000 2-in-1 4K UHD Touch-Screen Laptop",https://slickdeals.net/f/14095763-dell-inspiron-15-6-7000-2-in-1-4k-uhd-touch-screen-laptop?src=catpagev2,N/A,2
Staples Online Coupon: $15 Off $60 or more  + Free Shipping (6/1- 6/5),https://slickdeals.net/f/14094140-staples-online-coupon-15-off-60-or-more-free-shipping-6-1-6-5?src=catpagev2,N/A,25
32GB (2x16GB) OLOy DDR4 3600 SDRAM Desktop Memory Kit @Newegg $127,https://slickdeals.net/f/14094230-32gb-2x16gb-oloy-ddr4-3600-sdram-desktop-memory-kit-newegg-127?src=catpagev2,$127 ,15
CPO Outlets,https://slickdeals.net/coupons/cpo-outlets/,N/A,8
Office Depot and OfficeMax,https://slickdeals.net/coupons/office-depot/,$550 ,45
CalDigit TS3 Plus Thunderbolt 3 Dock (0.7m Cable) - $229.99,https://slickdeals.net/f/14083499-caldigit-ts3-plus-thunderbolt-3-dock-0-7m-cable-229-99?src=catpagev2,$229.99 ,26
ONN 16GB USB drive for $1 - Walmart In-Store YMMV,https://slickdeals.net/f/14084114-onn-16gb-usb-drive-for-1-walmart-in-store-ymmv?src=catpagev2,N/A,5
"Rosewill RX35-AT-SU Aluminum 3.5"" Enclosure - $9.99 / Armer RX308 - $19.99 + FS",https://slickdeals.net/f/14084894-rosewill-rx35-at-su-aluminum-3-5-enclosure-9-99-armer-rx308-19-99-fs?src=catpagev2,$9.99 ,1
TP-Link 16 Port Gigabit Ethernet Network Switch |$44.99 | Desktop/ Wall-Mount | Lifetime Protection | Amazon | Sturdy Metal w/ Shielded Ports Unmanaged (TL-SG116),https://slickdeals.net/f/14083838-tp-link-16-port-gigabit-ethernet-network-switch-44-99-desktop-wall-mount-lifetime-protection-amazon-sturdy-metal-w-shielded-ports-unmanaged-tl-sg116?src=catpagev2,$44.99 ,3
16GB (2x8GB) XPG GAMMIX D30 DDR4 3600 Desktop Memory Kit @Newegg $70,https://slickdeals.net/f/14074544-16gb-2x8gb-xpg-gammix-d30-ddr4-3600-desktop-memory-kit-newegg-70?src=catpagev2,$70 ,4
Apple AirPods with Wireless Charging Case  for $149.98 at Sam's Club,https://slickdeals.net/f/14074925-apple-airpods-with-wireless-charging-case-for-149-98-at-sam-s-club?src=catpagev2,$149.98 ,0
Netgear,https://slickdeals.net/coupons/netgear/,$108 ,17
